Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif;
2025-01-02 20:00:00 CEST;"74;71875";"46;125";"36;75";"4;0546875";0,0kWh;"4;87060546875";"53;359375";"1;5625";0,0kWh;"13;1962890625";"11;34375";0,0kWh;
2025-01-02 21:00:00 CEST;"6;171875";"47;25";"35;3125";"30;0546875";0,0kWh;0,0kWh;"56;296875";"1;4375";0,0kWh;"12;2294921875";"9;45703125";0,0kWh;
2025-01-02 22:00:00 CEST;"5;375";"53;25";"37;8125";"21;4375";0,0kWh;0,0kWh;"56;36328125";"1;53125";0,0kWh;"13;5849609375";"6;873046875";0,0kWh;
2025-01-02 23:00:00 CEST;"4;78125";"78;625";"26;5625";"17;578125";0,0kWh;0,0kWh;"42;6328125";"1;1875";0,0kWh;"9;931640625";"4;931640625";0,0kWh;
2025-01-03 00:00:00 CEST;"5;21875";"100;375";39,0kWh;"17;25";0,0kWh;0,0kWh;"55;8046875";"1;5625";0,0kWh;"12;7919921875";"6;498046875";0,0kWh;
2025-01-03 01:00:00 CEST;"5;671875";"97;25";"30;1875";"17;3125";0,0kWh;0,0kWh;26,0kWh;"18;90625";0,0kWh;"12;919921875";"6;41015625";0,0kWh;
2025-01-03 02:00:00 CEST;"5;671875";"99;625";"41;625";"1;90625";0,0kWh;0,0kWh;0,0kWh;"40;03125";0,0kWh;"12;5849609375";"6;580078125";0,0kWh;
2025-01-03 03:00:00 CEST;"5;78125";"93;25";"39;1875";"24;8671875";0,0kWh;"0;00048828125";0,0kWh;"40;09375";0,0kWh;"13;310546875";"6;615234375";0,0kWh;
2025-01-03 04:00:00 CEST;"6;40625";"89;125";"34;4375";"4;703125";0,0kWh;0,0kWh;0,0kWh;"39;90625";0,0kWh;"12;8017578125";"6;56640625";0,0kWh;
2025-01-03 05:00:00 CEST;"5;359375";"93;75";"34;75";"2;1328125";0,0kWh;0,0kWh;0,0kWh;"33;71875";0,0kWh;"12;724609375";"6;4609375";0,0kWh;
2025-01-03 06:00:00 CEST;"27;328125";"38;75";"29;625";"1;6171875";0,0kWh;"8;1591796875";"1;94921875";"7;03125";0,0kWh;"8;8876953125";"12;560546875";0,0kWh;
2025-01-03 07:00:00 CEST;"112;953125";"90;875";"29;4375";"22;3046875";0,0kWh;"8;61669921875";"13;62109375";40,0kWh;0,0kWh;"13;5078125";"14;517578125";0,0kWh;
2025-01-03 08:00:00 CEST;"109;25";"91;25";"41;1875";"18;859375";0,0kWh;"8;08349609375";"51;11328125";"40;375";0,0kWh;"13;15234375";"13;0234375";0,0kWh;
2025-01-03 09:00:00 CEST;"110;03125";"94;5";"36;375";"20;3359375";0,0kWh;"8;04833984375";"50;62109375";"40;59375";0,0kWh;"12;9658203125";"11;181640625";0,0kWh;
2025-01-03 10:00:00 CEST;"109;96875";"96;25";"33;4375";"18;6328125";0,0kWh;"7;943359375";"58;0859375";"40;4375";0,0kWh;"12;556640625";"11;376953125";0,0kWh;
2025-01-03 11:00:00 CEST;"108;625";"44;5";"37;9375";"19;0390625";0,0kWh;"7;8310546875";"56;62890625";"39;71875";0,0kWh;"12;5576171875";"11;56640625";0,0kWh;
2025-01-03 12:00:00 CEST;"106;4375";"51;625";"36;5625";"4;890625";0,0kWh;"7;810546875";"58;56640625";"38;8125";0,0kWh;"12;1875";"11;576171875";0,0kWh;
2025-01-03 13:00:00 CEST;"107;1875";"95;875";"36;1875";"1;578125";0,0kWh;"7;74853515625";"58;76953125";"38;9375";0,0kWh;"12;3623046875";"10;712890625";0,0kWh;
2025-01-03 14:00:00 CEST;106,0kWh;93,0kWh;"31;75";"1;6015625";0,0kWh;"8;1044921875";"52;55859375";"21;1875";0,0kWh;"11;8603515625";"10;65625";"0;0625";
