Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif; 
2025-02-20 21:00:00 CEST;"17;71875";"41;75";"45;25";"1;4765625";0,0kWh;0,0kWh;"7;0859375";"40;65625";0,0kWh;"13;98046875";0,0kWh;0,0kWh;
2025-02-20 22:00:00 CEST;"8;734375";"43;375";"36;875";"1;484375";0,0kWh;0,0kWh;"56;5234375";"38;09375";0,0kWh;"14;02734375";0,0kWh;0,0kWh;
2025-02-20 23:00:00 CEST;"7;03125";"33;625";"26;1875";"1;1640625";0,0kWh;0,0kWh;"43;390625";"30;6875";0,0kWh;"11;580078125";0,0kWh;0,0kWh;
2025-02-21 00:00:00 CEST;"9;265625";"44;375";"39;4375";"1;515625";0,0kWh;0,0kWh;"55;4296875";"38;1875";0,0kWh;"14;203125";0,0kWh;0,0kWh;
2025-02-21 01:00:00 CEST;"9;15625";"44;625";"16;9375";"1;53125";0,0kWh;0,0kWh;"27;171875";"38;8125";0,0kWh;"15;123046875";0,0kWh;0,0kWh;
2025-02-21 02:00:00 CEST;"9;5";"82;5";"44;125";"1;53125";0,0kWh;0,0kWh;"2;0703125";"38;9375";0,0kWh;"13;814453125";0,0kWh;0,0kWh;
2025-02-21 03:00:00 CEST;"9;359375";"94;75";"36;9375";"1;53125";0,0kWh;0,0kWh;"2;0859375";"38;90625";0,0kWh;"14;51953125";0,0kWh;0,0kWh;
2025-02-21 04:00:00 CEST;"9;140625";"92;125";"34;25";"1;5390625";0,0kWh;0,0kWh;"2;078125";"36;625";0,0kWh;"13;99609375";0,0kWh;0,0kWh;
2025-02-21 05:00:00 CEST;"9;875";"90;125";"28;5";"1;53125";0,0kWh;0,0kWh;"2;0859375";"31;4375";0,0kWh;"13;443359375";0,0kWh;0,0kWh;
2025-02-21 06:00:00 CEST;"30;390625";"46;375";0,0kWh;"1;53125";0,0kWh;0,0kWh;"2;078125";"21;28125";0,0kWh;"9;83203125";0,0kWh;0,0kWh;
2025-02-21 07:00:00 CEST;"99;421875";"79;375";"39;25";"3;109375";0,0kWh;"8;1982421875";"15;7578125";"40;375";0,0kWh;"13;314453125";0,0kWh;"12;375";
2025-02-21 08:00:00 CEST;"91;125";"88;75";"36;4375";"2;1796875";0,0kWh;"9;404296875";"56;78125";"39;9375";0,0kWh;"14;265625";0,0kWh;"11;6875";
2025-02-21 09:00:00 CEST;"76;359375";"93;25";"32;875";"2;140625";0,0kWh;"8;9892578125";"51;8046875";"39;96875";0,0kWh;"14;794921875";0,0kWh;"12;78125";
2025-02-21 10:00:00 CEST;"109;84375";"92;875";"30;75";"34;46875";0,0kWh;"9;1240234375";"57;2578125";"39;84375";0,0kWh;"13;548828125";0,0kWh;"0;15625";
2025-02-21 11:00:00 CEST;"107;734375";"91;875";"30;25";"22;109375";0,0kWh;"8;951171875";"49;7265625";"32;40625";0,0kWh;"13;8984375";0,0kWh;"3;875";
2025-02-21 12:00:00 CEST;"108;421875";"92;625";"34;3125";"16;9296875";0,0kWh;"8;875";"52;7890625";"26;78125";0,0kWh;"13;26171875";0,0kWh;"0;09375";
2025-02-21 13:00:00 CEST;"106;421875";92,0kWh;"15;5625";"0;1328125";0,0kWh;"8;966796875";"57;8828125";"39;6875";0,0kWh;"13;85546875";0,0kWh;0,0kWh;
2025-02-21 14:00:00 CEST;"106;25";"98;5";0,0kWh;"18;7421875";0,0kWh;"9;1787109375";"2;2578125";"38;53125";0,0kWh;"13;25";0,0kWh;0,0kWh;
2025-02-21 15:00:00 CEST;"107;78125";91,0kWh;0,0kWh;"18;3828125";0,0kWh;"8;912109375";"2;8828125";"38;125";0,0kWh;"13;265625";0,0kWh;0,0kWh;
2025-02-21 16:00:00 CEST;"107;890625";"91;25";0,0kWh;"18;109375";0,0kWh;"8;9208984375";"3;2578125";"37;8125";0,0kWh;"12;880859375";0,0kWh;0,0kWh;
2025-02-21 17:00:00 CEST;"106;765625";"90;375";0,0kWh;"19;1875";0,0kWh;"8;955078125";"3;328125";38,0kWh;0,0kWh;"13;46484375";0,0kWh;0,0kWh;
2025-02-21 18:00:00 CEST;"104;328125";59,0kWh;0,0kWh;"6;8203125";0,0kWh;"9;115234375";"3;125";"38;8125";0,0kWh;"12;98828125";0,0kWh;0,0kWh;
2025-02-21 19:00:00 CEST;103,0kWh;"59;125";0,0kWh;"1;4140625";0,0kWh;"9;0224609375";"3;1953125";"38;78125";0,0kWh;"13;255859375";0,0kWh;0,0kWh;
2025-02-21 20:00:00 CEST;"99;859375";"96;5";"16;9375";"1;4296875";0,0kWh;"7;658203125";"0;7890625";"7;84375";0,0kWh;"13;75";0,0kWh;0,0kWh;
2025-02-21 21:00:00 CEST;"105;34375";"105;125";"42;75";"1;4765625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"14;4140625";0,0kWh;0,0kWh;
2025-02-21 22:00:00 CEST;"105;84375";"102;25";"38;6875";"1;4765625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;802734375";0,0kWh;0,0kWh;
2025-02-21 23:00:00 CEST;"88;5625";"83;625";"27;4375";"1;2578125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"11;654296875";0,0kWh;0,0kWh;
2025-02-22 00:00:00 CEST;"109;703125";"100;5";"38;9375";"1;515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"14;33203125";0,0kWh;0,0kWh;
2025-02-22 01:00:00 CEST;"105;125";"96;375";"28;1875";"1;53125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"14;50390625";0,0kWh;0,0kWh;
2025-02-22 02:00:00 CEST;"109;984375";"98;25";"38;375";"1;5234375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"14;013671875";0,0kWh;0,0kWh;
2025-02-22 03:00:00 CEST;"109;515625";"97;25";"36;3125";"1;53125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;83984375";0,0kWh;0,0kWh;
2025-02-22 04:00:00 CEST;"109;78125";"97;625";"29;3125";"1;53125";0,0kWh;0,0kWh;0,0kWh;"6;75";0,0kWh;"12;9140625";0,0kWh;0,0kWh;
2025-02-22 05:00:00 CEST;"100;828125";"91;875";"27;5";"1;546875";0,0kWh;"0;0009765625";0,0kWh;"2;3125";0,0kWh;"13;9921875";0,0kWh;0,0kWh;
2025-02-22 06:00:00 CEST;"57;421875";"70;25";0,0kWh;"1;5234375";0,0kWh;0,0kWh;"0;296875";"14;53125";0,0kWh;"8;490234375";0,0kWh;0,0kWh;
2025-02-22 07:00:00 CEST;"115;125";"101;125";0,0kWh;"1;484375";0,0kWh;"9;427734375";0,0kWh;"34;09375";0,0kWh;"13;353515625";0,0kWh;"11;1875";
2025-02-22 08:00:00 CEST;"109;84375";"99;75";0,0kWh;"1;453125";0,0kWh;"9;255859375";0,0kWh;"36;375";0,0kWh;"14;130859375";0,0kWh;"13;1875";
2025-02-22 09:00:00 CEST;"107;09375";"97;875";0,0kWh;"1;453125";0,0kWh;"8;9091796875";0,0kWh;"37;75";0,0kWh;"13;763671875";0,0kWh;"13;21875";
2025-02-22 10:00:00 CEST;"106;5";"96;375";0,0kWh;"1;4453125";0,0kWh;"8;8974609375";0,0kWh;"37;8125";0,0kWh;"12;84375";0,0kWh;"10;15625";
2025-02-22 11:00:00 CEST;"103;65625";"48;75";0,0kWh;"1;4609375";0,0kWh;"8;810546875";0,0kWh;"37;84375";0,0kWh;"13;45703125";0,0kWh;"11;9375";
2025-02-22 12:00:00 CEST;"107;265625";"80;125";0,0kWh;"1;453125";0,0kWh;"8;62890625";0,0kWh;38,0kWh;0,0kWh;"12;994140625";0,0kWh;"10;25";
2025-02-22 13:00:00 CEST;"105;78125";87,0kWh;"1;375";"1;5";0,0kWh;"8;83984375";0,0kWh;"37;9375";0,0kWh;"13;427734375";0,0kWh;"13;21875";
2025-02-22 14:00:00 CEST;"102;234375";81,0kWh;0,0kWh;"6;3984375";0,0kWh;"8;7421875";"49;203125";"37;96875";0,0kWh;"12;71875";0,0kWh;"2;03125";
2025-02-22 15:00:00 CEST;"103;21875";"73;875";0,0kWh;"4;140625";0,0kWh;"8;6845703125";"35;578125";"37;90625";0,0kWh;"13;32421875";0,0kWh;0,0kWh;
2025-02-22 16:00:00 CEST;"106;203125";"85;5";0,0kWh;"3;9453125";0,0kWh;"8;71484375";"43;6171875";"37;96875";0,0kWh;"12;78515625";0,0kWh;0,0kWh;
2025-02-22 17:00:00 CEST;"103;046875";"93;125";0,0kWh;"3;953125";0,0kWh;"8;736328125";"58;7265625";"37;90625";0,0kWh;"9;943359375";0,0kWh;0,0kWh;
2025-02-22 18:00:00 CEST;"104;71875";"92;875";0,0kWh;"3;96875";0,0kWh;"8;80078125";"58;203125";"37;84375";0,0kWh;"6;810546875";0,0kWh;0,0kWh;
2025-02-22 19:00:00 CEST;"104;484375";"78;375";0,0kWh;"3;796875";0,0kWh;"8;7978515625";"58;0703125";"38;75";0,0kWh;"6;708984375";0,0kWh;0,0kWh;
2025-02-22 20:00:00 CEST;"65;921875";"64;75";0,0kWh;"1;7109375";0,0kWh;"6;9638671875";"50;9453125";35,0kWh;0,0kWh;"6;8046875";0,0kWh;0,0kWh;
2025-02-22 21:00:00 CEST;"9;421875";"13;25";0,0kWh;"1;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;52734375";0,0kWh;0,0kWh;
2025-02-22 22:00:00 CEST;"8;84375";"13;375";0,0kWh;"1;5390625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;548828125";0,0kWh;0,0kWh;
2025-02-22 23:00:00 CEST;"7;765625";"12;25";0,0kWh;"1;3984375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;484375";0,0kWh;0,0kWh;
2025-02-23 00:00:00 CEST;"9;375";14,0kWh;0,0kWh;"1;578125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";0,0kWh;0,0kWh;
2025-02-23 01:00:00 CEST;"8;984375";"13;125";0,0kWh;"1;578125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;6640625";0,0kWh;0,0kWh;
2025-02-23 02:00:00 CEST;"9;234375";"14;125";0,0kWh;"1;5859375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;671875";0,0kWh;0,0kWh;
2025-02-23 03:00:00 CEST;"9;578125";14,0kWh;0,0kWh;"1;5625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";0,0kWh;0,0kWh;
2025-02-23 04:00:00 CEST;"9;390625";"14;25";0,0kWh;"1;5703125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;65625";0,0kWh;0,0kWh;
2025-02-23 05:00:00 CEST;"8;984375";"13;375";0,0kWh;"1;5625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;658203125";0,0kWh;0,0kWh;
2025-02-23 06:00:00 CEST;"10;0625";"14;5";0,0kWh;"1;5625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;626953125";0,0kWh;0,0kWh;
2025-02-23 07:00:00 CEST;"9;453125";14,0kWh;0,0kWh;"1;5625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;58984375";0,0kWh;0,0kWh;
2025-02-23 08:00:00 CEST;"8;9375";"14;375";0,0kWh;"1;53125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;716796875";0,0kWh;0,0kWh;
2025-02-23 09:00:00 CEST;"9;234375";"13;625";0,0kWh;"1;515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"5;892578125";0,0kWh;0,0kWh;
2025-02-23 10:00:00 CEST;"9;046875";"13;375";0,0kWh;"1;5078125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"17;291015625";0,0kWh;0,0kWh;
2025-02-23 11:00:00 CEST;"9;03125";"13;75";0,0kWh;"1;5078125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"12;09765625";0,0kWh;0,0kWh;
2025-02-23 12:00:00 CEST;"9;28125";"13;625";0,0kWh;"1;515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;451171875";0,0kWh;0,0kWh;
2025-02-23 13:00:00 CEST;"8;71875";"13;125";0,0kWh;"1;5078125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;552734375";0,0kWh;0,0kWh;
2025-02-23 14:00:00 CEST;"8;78125";"13;25";0,0kWh;"1;515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;455078125";0,0kWh;0,0kWh;
2025-02-23 15:00:00 CEST;"8;578125";"13;5";0,0kWh;"1;5234375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;458984375";0,0kWh;0,0kWh;
2025-02-23 16:00:00 CEST;"8;90625";"13;625";0,0kWh;"1;5234375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;525390625";0,0kWh;0,0kWh;
2025-02-23 17:00:00 CEST;"8;640625";"12;5";0,0kWh;"1;5234375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;458984375";0,0kWh;0,0kWh;
2025-02-23 18:00:00 CEST;"8;984375";"13;5";0,0kWh;"1;5078125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;537109375";0,0kWh;0,0kWh;
2025-02-23 19:00:00 CEST;"8;609375";"13;5";0,0kWh;"1;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;453125";0,0kWh;0,0kWh;
2025-02-23 20:00:00 CEST;"9;203125";"13;25";0,0kWh;"1;515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;53515625";0,0kWh;0,0kWh;
2025-02-23 21:00:00 CEST;"9;421875";"13;5";0,0kWh;"1;53125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5546875";0,0kWh;0,0kWh;
2025-02-23 22:00:00 CEST;"9;125";14,0kWh;0,0kWh;"1;5546875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;462890625";0,0kWh;0,0kWh;
2025-02-23 23:00:00 CEST;"8;96875";13,0kWh;0,0kWh;"1;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5234375";0,0kWh;0,0kWh;
2025-02-24 00:00:00 CEST;"9;03125";"13;25";0,0kWh;"1;578125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;48046875";0,0kWh;0,0kWh;
2025-02-24 01:00:00 CEST;"9;4375";14,0kWh;0,0kWh;"1;5859375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;572265625";0,0kWh;0,0kWh;
2025-02-24 02:00:00 CEST;"9;625";14,0kWh;0,0kWh;"1;59375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";0,0kWh;0,0kWh;
2025-02-24 03:00:00 CEST;"9;546875";"14;25";0,0kWh;"1;6015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;474609375";0,0kWh;0,0kWh;
2025-02-24 04:00:00 CEST;"9;46875";"13;5";0,0kWh;"1;609375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;56640625";0,0kWh;0,0kWh;
2025-02-24 05:00:00 CEST;"9;109375";"14;125";0,0kWh;"1;6015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"14;26171875";0,0kWh;0,0kWh;
2025-02-24 06:00:00 CEST;"61;71875";"42;625";0,0kWh;"1;53125";0,0kWh;0,0kWh;"8;6171875";"21;3125";0,0kWh;"15;40234375";0,0kWh;0,0kWh;
2025-02-24 07:00:00 CEST;"111;6875";"80;75";"34;8125";"14;6640625";0,0kWh;"9;2060546875";"56;8359375";"37;5";0,0kWh;"14;013671875";0,0kWh;"12;6875";
2025-02-24 08:00:00 CEST;"107;234375";"84;25";"35;75";"1;4921875";0,0kWh;"9;1552734375";"56;421875";"38;4375";0,0kWh;"14;978515625";0,0kWh;"13;03125";
2025-02-24 09:00:00 CEST;"107;171875";"96;875";"33;625";"0;9375";0,0kWh;"8;9013671875";"55;1640625";"38;78125";0,0kWh;"13;578125";0,0kWh;"12;9375";
2025-02-24 10:00:00 CEST;"83;109375";"96;375";"26;625";"0;9453125";0,0kWh;"8;896484375";"55;1484375";"34;0625";0,0kWh;"12;494140625";0,0kWh;"6;25";
2025-02-24 11:00:00 CEST;"103;15625";"96;5";"26;875";"3;6953125";0,0kWh;"9;083984375";"20;953125";"39;15625";0,0kWh;"13;083984375";0,0kWh;0,0kWh;
2025-02-24 12:00:00 CEST;"99;90625";"91;625";"30;375";"2;7265625";0,0kWh;"8;9169921875";"52;625";"39;0625";0,0kWh;"12;662109375";0,0kWh;"8;46875";
2025-02-24 13:00:00 CEST;"94;515625";"94;25";"34;3125";"2;984375";0,0kWh;"8;90234375";"40;5546875";"39;21875";0,0kWh;"12;33984375";0,0kWh;"12;65625";
2025-02-24 14:00:00 CEST;"102;234375";"84;5";"26;875";"2;3828125";0,0kWh;"8;8056640625";"3;6796875";"37;96875";0,0kWh;"12;951171875";0,0kWh;"13;15625";
2025-02-24 15:00:00 CEST;"100;140625";"89;625";"34;125";"2;421875";0,0kWh;"8;7666015625";"2;0703125";"37;96875";0,0kWh;"13;259765625";0,0kWh;"13;4375";
2025-02-24 16:00:00 CEST;"100;609375";"91;75";30,0kWh;"1;46875";0,0kWh;"8;7607421875";"26;1328125";"39;59375";0,0kWh;"13;080078125";0,0kWh;"10;375";
2025-02-24 17:00:00 CEST;"101;21875";"89;75";"31;8125";"0;09375";0,0kWh;"8;8115234375";"51;0390625";"39;84375";0,0kWh;"12;91015625";0,0kWh;"8;03125";
2025-02-24 18:00:00 CEST;"100;453125";"94;625";"32;125";"0;0859375";0,0kWh;"8;869140625";"53;4765625";"39;9375";0,0kWh;"13;677734375";0,0kWh;"0;09375";
2025-02-24 19:00:00 CEST;98,0kWh;"95;25";"30;25";"0;0859375";0,0kWh;"8;9169921875";"53;359375";"39;375";0,0kWh;"13;078125";0,0kWh;0,0kWh;
2025-02-24 20:00:00 CEST;"76;78125";"96;375";"27;5";"0;0859375";0,0kWh;"7;3818359375";"47;265625";"39;40625";0,0kWh;"14;587890625";0,0kWh;0,0kWh;
2025-02-24 21:00:00 CEST;"8;828125";"95;75";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;"38;375";0,0kWh;"14;06640625";0,0kWh;0,0kWh;
2025-02-24 22:00:00 CEST;"9;015625";"95;875";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;"37;96875";0,0kWh;"14;345703125";0,0kWh;0,0kWh;
2025-02-24 23:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-02-25 00:00:00 CEST;"8;65625";"96;875";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;"37;0625";0,0kWh;"14;390625";0,0kWh;0,0kWh;
2025-02-25 01:00:00 CEST;"8;78125";"96;125";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;"36;6875";0,0kWh;"14;779296875";0,0kWh;0,0kWh;
2025-02-25 02:00:00 CEST;"9;140625";"98;125";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;"36;78125";0,0kWh;14,0kWh;0,0kWh;0,0kWh;
2025-02-25 03:00:00 CEST;"9;046875";"97;125";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;"13;125";0,0kWh;"14;328125";0,0kWh;0,0kWh;
2025-02-25 04:00:00 CEST;"8;59375";"97;5";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;"40;46875";0,0kWh;"14;9140625";0,0kWh;0,0kWh;
2025-02-25 05:00:00 CEST;"9;546875";"92;125";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;"34;5625";0,0kWh;"15;375";0,0kWh;0,0kWh;
2025-02-25 06:00:00 CEST;"48;984375";"52;875";0,0kWh;"0;09375";0,0kWh;0,0kWh;"11;1328125";"18;4375";0,0kWh;"10;650390625";0,0kWh;0,0kWh;
2025-02-25 07:00:00 CEST;"67;671875";"95;5";"42;3125";"0;9609375";0,0kWh;"10;177734375";"52;4375";"41;03125";0,0kWh;"14;27734375";0,0kWh;"0;125";
2025-02-25 08:00:00 CEST;"91;140625";94,0kWh;"37;3125";"0;390625";0,0kWh;"9;1767578125";"51;4609375";"41;09375";0,0kWh;"14;0859375";0,0kWh;"9;59375";
2025-02-25 09:00:00 CEST;"101;09375";"91;5";"35;0625";"0;390625";0,0kWh;"8;96484375";"20;9296875";"40;375";0,0kWh;"13;94921875";0,0kWh;"4;34375";
2025-02-25 10:00:00 CEST;"99;3125";"94;5";"35;625";"0;390625";0,0kWh;"8;8486328125";"32;3515625";"40;375";0,0kWh;"13;392578125";0,0kWh;"0;53125";
2025-02-25 11:00:00 CEST;"95;453125";"96;75";"34;25";"0;40625";0,0kWh;"8;8232421875";"43;90625";"40;15625";0,0kWh;"12;11328125";0,0kWh;"12;6875";
2025-02-25 12:00:00 CEST;"95;09375";"48;375";"31;5625";"0;421875";0,0kWh;"8;720703125";"9;7578125";"40;3125";0,0kWh;"13;302734375";0,0kWh;"10;96875";
2025-02-25 13:00:00 CEST;"81;734375";"68;375";"34;5";"0;4140625";0,0kWh;"8;767578125";"33;9453125";"39;59375";0,0kWh;"13;369140625";0,0kWh;"13;0625";
2025-02-25 14:00:00 CEST;"53;015625";"89;875";"29;125";"0;3984375";0,0kWh;"8;7470703125";"55;6484375";"39;34375";0,0kWh;"12;8828125";0,0kWh;"9;5";
2025-02-25 15:00:00 CEST;"35;15625";"87;75";"35;4375";"0;1640625";0,0kWh;"8;892578125";"42;1015625";"39;15625";0,0kWh;"12;98828125";0,0kWh;"3;78125";
2025-02-25 16:00:00 CEST;"40;46875";"87;25";"27;625";"0;09375";0,0kWh;"9;0361328125";"48;984375";"39;21875";0,0kWh;"12;734375";0,0kWh;"10;4375";
2025-02-25 17:00:00 CEST;"61;09375";"86;75";"28;4375";"0;09375";0,0kWh;"9;1337890625";"47;5390625";"34;6875";0,0kWh;"13;671875";0,0kWh;"13;96875";
2025-02-25 18:00:00 CEST;"104;625";94,0kWh;"33;3125";"0;0859375";0,0kWh;"8;8759765625";"43;578125";"33;21875";0,0kWh;"13;728515625";0,0kWh;"13;59375";
2025-02-25 19:00:00 CEST;"97;375";"95;875";34,0kWh;"0;0859375";0,0kWh;"8;833984375";"51;109375";"40;9375";0,0kWh;"13;80078125";0,0kWh;"10;59375";
2025-02-25 20:00:00 CEST;"69;3125";"100;25";"32;625";"0;09375";0,0kWh;"7;7509765625";"39;5234375";"40;90625";0,0kWh;"13;4140625";0,0kWh;"11;03125";
2025-02-25 21:00:00 CEST;"6;71875";"99;75";0,0kWh;"37;1171875";0,0kWh;0,0kWh;0,0kWh;"40;25";0,0kWh;"13;791015625";0,0kWh;0,0kWh;
2025-02-25 22:00:00 CEST;"5;921875";"87;75";0,0kWh;"24;5";0,0kWh;0,0kWh;0,0kWh;"39;03125";0,0kWh;"14;427734375";0,0kWh;0,0kWh;
2025-02-25 23:00:00 CEST;"0;53125";"8;75";0,0kWh;"2;1484375";0,0kWh;0,0kWh;0,0kWh;"3;40625";0,0kWh;"1;001953125";0,0kWh;0,0kWh;
2025-02-26 00:00:00 CEST;"5;015625";"87;5";0,0kWh;"5;359375";0,0kWh;0,0kWh;0,0kWh;"36;53125";0,0kWh;"14;1875";0,0kWh;0,0kWh;
2025-02-26 01:00:00 CEST;"5;0625";"93;5";0,0kWh;"2;390625";0,0kWh;0,0kWh;0,0kWh;"38;46875";0,0kWh;"14;728515625";0,0kWh;0,0kWh;
2025-02-26 02:00:00 CEST;"4;71875";91,0kWh;0,0kWh;"25;6484375";0,0kWh;0,0kWh;0,0kWh;"38;40625";0,0kWh;"13;42578125";0,0kWh;0,0kWh;
2025-02-26 03:00:00 CEST;"4;65625";"97;125";0,0kWh;22,0kWh;0,0kWh;0,0kWh;0,0kWh;"38;40625";0,0kWh;"13;791015625";0,0kWh;0,0kWh;
2025-02-26 04:00:00 CEST;"5;359375";"97;75";0,0kWh;"1;21875";0,0kWh;0,0kWh;0,0kWh;"38;21875";0,0kWh;"14;185546875";0,0kWh;0,0kWh;
2025-02-26 05:00:00 CEST;"5;078125";"89;625";0,0kWh;"0;4375";0,0kWh;"0;0009765625";0,0kWh;"34;78125";0,0kWh;"14;4140625";0,0kWh;0,0kWh;
2025-02-26 06:00:00 CEST;"49;9375";"57;25";0,0kWh;"0;1015625";0,0kWh;0,0kWh;"4;75";"7;71875";0,0kWh;"10;095703125";0,0kWh;0,0kWh;
2025-02-26 07:00:00 CEST;"99;21875";"97;25";"46;9375";"0;9765625";0,0kWh;0,0kWh;"38;3515625";"39;9375";0,0kWh;"13;1484375";0,0kWh;"11;5625";
2025-02-26 08:00:00 CEST;"90;078125";"97;125";"36;6875";"0;7734375";0,0kWh;"8;2548828125";"47;6875";"39;78125";0,0kWh;"12;8828125";0,0kWh;"12;28125";
2025-02-26 09:00:00 CEST;"51;046875";"94;75";"37;6875";"0;7421875";0,0kWh;"6;306640625";"51;125";"39;25";0,0kWh;"12;720703125";0,0kWh;0,0kWh;
2025-02-26 10:00:00 CEST;"90;046875";"96;625";"33;375";"0;7578125";0,0kWh;"6;1884765625";"51;71875";"39;15625";0,0kWh;"13;646484375";0,0kWh;0,0kWh;
2025-02-26 11:00:00 CEST;"88;15625";"96;875";"38;5";"1;7265625";0,0kWh;"8;7607421875";"56;25";"39;3125";0,0kWh;"13;865234375";0,0kWh;"2;96875";
2025-02-26 12:00:00 CEST;"99;046875";"76;375";"33;1875";"2;9453125";0,0kWh;"8;63671875";"55;8359375";"39;90625";0,0kWh;"13;44140625";0,0kWh;"1;3125";
2025-02-26 13:00:00 CEST;"95;953125";"88;125";"31;3125";"1;8203125";0,0kWh;"8;7177734375";"32;7890625";"37;375";0,0kWh;"11;142578125";0,0kWh;8,0kWh;
2025-02-26 14:00:00 CEST;"98;25";"96;875";"27;875";"3;4609375";0,0kWh;"8;8291015625";"42;75";"40;375";0,0kWh;"9;75";0,0kWh;"3;84375";
2025-02-26 15:00:00 CEST;"99;046875";"96;125";"35;625";"3;296875";0,0kWh;"8;7587890625";55,0kWh;"40;75";0,0kWh;"10;93359375";0,0kWh;"12;625";
2025-02-26 16:00:00 CEST;"91;234375";91,0kWh;"27;8125";"1;9921875";0,0kWh;"8;8349609375";"46;2421875";"36;8125";0,0kWh;"11;4921875";0,0kWh;"9;96875";
2025-02-26 17:00:00 CEST;"99;1875";"90;25";"35;1875";"0;09375";0,0kWh;"8;8427734375";"37;890625";"40;9375";0,0kWh;"13;39453125";0,0kWh;"13;625";
2025-02-26 18:00:00 CEST;"97;78125";91,0kWh;"28;9375";"0;0859375";0,0kWh;"8;921875";"56;015625";"41;1875";0,0kWh;"13;6484375";0,0kWh;"13;40625";
